,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,label
23517,True,19/10/2018 21:32,6,765,0,"Fea. Resentida. Loser.



Tomate el palo, neg.ra.xha...",https://www.lanacion.com.ar/2183289-miss-bolivia,rmike,Yamila Trautman,Espectáculos,"Se quedó sin trabajo, se separó y se fue de su casa: el cambio de vida de Miss Bolivia",0.8352564,0.904667,1
19638,False,06/10/2018 21:21,,362,0,Las tangueras tiene corte de pelo abortera.. Es un choma... El tango no se mancha... Adefecios. Juaaaa Juaaaa 😂,https://www.lanacion.com.ar/2179229-juegos-olimpicos-juventud-ceremonia-inaugural-fotos,torno10,Fernando Vergara,Deportes,Juegos Olímpicos de la Juventud: así se vivió la ceremonia inaugural en pleno centro porteño,,,1
21165,False,09/10/2018 18:35,1,475,1,la gorda dijo algo de este tema eh,https://www.lanacion.com.ar/2180053-la-oposicion-convoca-sesion-anular-aumento-gas,nomengrapes70,Gabriel Sued,Política,La oposición convoca a una sesión para anular el aumento en el gas,0.18429568,0.27091005,0
26155,True,09/10/2018 17:52,,475,0,"@Bullenbeisser Mayor golpe que el de la gorda no creo que haya: ""elige o cae, tiene dos meses""",https://www.lanacion.com.ar/2180053-la-oposicion-convoca-sesion-anular-aumento-gas,LeonSKennedy,Gabriel Sued,Política,La oposición convoca a una sesión para anular el aumento en el gas,0.1942937,0.26166534,0
56270,True,17/10/2018 23:46,,708,0,Seguro la gorda come pizza le gusta,https://www.lanacion.com.ar/2182714-maria-eugenia-vidal-coloquio-idea-el-cambio,ron_1091,Maia Jastreblansky,Política,"Vidal reclamó a los hombres de negocios que no se ubiquen ""del lado de la vereda que es cómplice""",0.6946815,0.77750224,1
26585,False,13/10/2018 01:28,,543,0,"@pigutierrez Si ella quiere. No soy de las de ni una menos ni nada, pero es una chica respetable, como todas. Y como todos los hombres. Por ahí te da ""bocha"", jaja. Saludos.",https://www.lanacion.com.ar/2181268-delfina-pignatiello-delfina-dini-400-metros-juegos,ammoreno,Germán Leza,Deportes,Delfina Pignatiello cosechó otra medalla de plata: fue segunda en los 400 metros libres en los Juegos Olímpicos de la Juventud,0.16537087,0.1765879,0
56079,True,03/10/2018 23:00,,296,0,Una tilinga impresentable.,https://www.lanacion.com.ar/2178198-mataron-docente,gaspas,Gustavo Carabajal,Sociedad,Conmoción en Junín por el crimen de una docente,0.18793912,0.32682252,1
47333,False,27/09/2018 19:35,3,113,1,@BRUCE54 Mbetuska es mas fea que Milagro Sala,https://www.lanacion.com.ar/2176203-se-entrego-comodoro-py-roberto-sosa-otro,solyema,Hernán Cappiello,Política,"Los cuadernos de las coimas: se entregó en Comodoro Py Ricardo Barreiro, el jardinero de los Kirchner",0.42152774,0.77750224,1
26537,False,27/09/2018 16:08,6,113,0,ya se entregan sin que los llamen. Todos con las manos sucias.,https://www.lanacion.com.ar/2176203-se-entrego-comodoro-py-roberto-sosa-otro,samus26,Hernán Cappiello,Política,"Los cuadernos de las coimas: se entregó en Comodoro Py Ricardo Barreiro, el jardinero de los Kirchner",0.20636459,0.23766443,0
7499,False,19/10/2018 18:00,,756,0,"@mbetuska @Sebastian1976 yo te tengo bien ubicada, por eso pongo que sos FEA.",https://www.lanacion.com.ar/2183320-federici-uif-el-pais-estuvo-gobernado-organizacion,solyema,Ignacio Federico,Economía,"Federici, de la UIF: ""El país estuvo gobernado por una organización criminal destinada a lucrar""",0.7466319,0.904667,1
35638,True,19/10/2018 17:35,1,756,3,"Uy, volvió la FEA al foro!!!!",https://www.lanacion.com.ar/2183320-federici-uif-el-pais-estuvo-gobernado-organizacion,solyema,Ignacio Federico,Economía,"Federici, de la UIF: ""El país estuvo gobernado por una organización criminal destinada a lucrar""",0.60069865,0.84113747,1
403,False,19/10/2018 17:39,,756,2,@solyema Hay tanta fea en el foro que tu post pasa a ser tema de la hermenéutica.,https://www.lanacion.com.ar/2183320-federici-uif-el-pais-estuvo-gobernado-organizacion,EduardoMain,Ignacio Federico,Economía,"Federici, de la UIF: ""El país estuvo gobernado por una organización criminal destinada a lucrar""",0.61702186,0.77750224,1
26367,True,19/10/2018 17:40,,756,0,@EduardoMain @solyema pero yo conozco a una sola del foro y puedo dar fé que es FEA en serio,https://www.lanacion.com.ar/2183320-federici-uif-el-pais-estuvo-gobernado-organizacion,solyema,Ignacio Federico,Economía,"Federici, de la UIF: ""El país estuvo gobernado por una organización criminal destinada a lucrar""",0.44471684,0.6619425,1
29107,True,18/10/2018 19:22,,723,2,Otra vez la FEA .....deben pagarle muy bien...,https://www.lanacion.com.ar/2183010-cesar-litvin-reforma-bienes-personales-hay-poquitos,solyema,Ignacio Federico,Economía,"César Litvin, sobre la reforma en Bienes Personales: ""Hay poquitos ganadores y muchos perdedores""",0.38413772,0.6313609,1
55081,False,19/10/2018 17:09,3,756,2,@Mrce44 en cualquier momento aparece la FEA,https://www.lanacion.com.ar/2183320-federici-uif-el-pais-estuvo-gobernado-organizacion,solyema,Ignacio Federico,Economía,"Federici, de la UIF: ""El país estuvo gobernado por una organización criminal destinada a lucrar""",0.22697514,0.4251348,1
26884,False,12/10/2018 13:51,,564,0,"Y Lorenzetti le dijo AUDITAME ESSSTA GORDA







Sigue el circo, Los K, la gorda, Mazita, los aumentos que no son aumentos si nos quejamos .....",https://www.lanacion.com.ar/2181147-elisa-carrio-pidio-auditoria-gestion-lorenzetti-corte,artroelsen,Iván Ruiz,Política,Elisa Carrió pidió una auditoría de la gestión de Lorenzetti en la Corte,,,1
20360,True,22/10/2018 17:21,1,797,0,te referís a la TILINGA?,https://www.lanacion.com.ar/2183681-una-socia-viuda-munoz-se-convirtio-primera,Eduardo9,Iván Ruiz,Política,Una socia de la viuda de Muñoz se convirtió en la primera mujer detenida por los cuadernos de las coimas,,,1
26184,False,13/10/2018 22:57,,564,0,Le pusieron pan cerca a la Gorda para que hable lo menos posible,https://www.lanacion.com.ar/2181147-elisa-carrio-pidio-auditoria-gestion-lorenzetti-corte,wallys,Iván Ruiz,Política,Elisa Carrió pidió una auditoría de la gestión de Lorenzetti en la Corte,0.2199504,0.2547839,0
29888,False,13/10/2018 23:44,1,586,0,@lucasvas @lcow0134 @Naty_Mercurio_XI Yo la vi en internet. Esuna gorda de lentes de sol de 60 años. Hasta el cuil publicó.,https://www.lanacion.com.ar/2181557-el-gobierno-comenzo-analizar-escenario-2019,Naty_Mercurio_XI,Jaime Rosemberg,Política,El Gobierno ya comenzó a analizar el escenario 2019,0.56395286,0.58719254,1
19155,True,13/10/2018 23:27,2,586,0,@volx @lcow0134 TE GUSTA QUE TE PUERTEEN GORDA,https://www.lanacion.com.ar/2181557-el-gobierno-comenzo-analizar-escenario-2019,lcow0134,Jaime Rosemberg,Política,El Gobierno ya comenzó a analizar el escenario 2019,,,1
622,False,13/10/2018 22:41,1,586,1,Saquen a la gorda,https://www.lanacion.com.ar/2181557-el-gobierno-comenzo-analizar-escenario-2019,elujan11,Jaime Rosemberg,Política,El Gobierno ya comenzó a analizar el escenario 2019,0.46197492,0.58826876,0
45800,False,08/10/2018 14:46,1,445,0,"Gorda todo bien, pero no te pases",https://www.lanacion.com.ar/2179686-el-gobierno-busca-el-equilibrio-entre-defender-a-macri-y-contener-a-carrio-en-cambiemos,enciclopedico,Jaime Rosemberg,Política,El Gobierno busca el equilibrio entre defender a Macri y contener a Carrió en Cambiemos,,,0
50208,True,13/10/2018 23:29,3,586,1,"@volx vos decis, gorda? y contanos a vos quien te paga ...",https://www.lanacion.com.ar/2181557-el-gobierno-comenzo-analizar-escenario-2019,silvia_torno,Jaime Rosemberg,Política,El Gobierno ya comenzó a analizar el escenario 2019,,,0
50987,True,13/10/2018 23:28,,586,4,"La gorda le está pegando en la linea de flotación de Mauricio, investigar a Angelo Calcaterra es preparar el camino para la futura causa y  carcel de Mauricio... por eso  el panameño está que trina....",https://www.lanacion.com.ar/2181557-el-gobierno-comenzo-analizar-escenario-2019,mbetuska,Jaime Rosemberg,Política,El Gobierno ya comenzó a analizar el escenario 2019,,,0
53306,True,13/10/2018 23:24,,586,5,"¿La gorda presenta el pedido de juicio politico al Ministro, o está negociando con Mauricio acciones en Las Cuartetas?",https://www.lanacion.com.ar/2181557-el-gobierno-comenzo-analizar-escenario-2019,mbetuska,Jaime Rosemberg,Política,El Gobierno ya comenzó a analizar el escenario 2019,,,0
57561,True,13/10/2018 23:25,1,586,3,@mbetuska A LA GORDA LA TENEMOS PARA ENCANAR A LOS K.K,https://www.lanacion.com.ar/2181557-el-gobierno-comenzo-analizar-escenario-2019,lcow0134,Jaime Rosemberg,Política,El Gobierno ya comenzó a analizar el escenario 2019,,,0
37088,True,13/10/2018 22:57,3,586,11,Hasta las 11 o 12 de la mañaña no habrá movimiento en el foro.. la gorda Mrce 44 se levanta temprano para ir a Moreno al Club del Canje con su pareja el Cacho y vuelve con su 9 o 10 nicks...,https://www.lanacion.com.ar/2181557-el-gobierno-comenzo-analizar-escenario-2019,mbetuska,Jaime Rosemberg,Política,El Gobierno ya comenzó a analizar el escenario 2019,0.6086836,0.51589984,
20717,False,09/10/2018 20:03,2,473,1,"@sf2000 Porque la mitad de los deudos olfateó dinero. Luego que tres potencias -compitiendo- no lo encontraron. Se instalaron en una base naval y empezaron a ""Clamar"". Siempre, exigiendo alternativas caras y ridículas (Hasta llevar a una vidente), dejan",https://www.lanacion.com.ar/2180125-ara-san-juan-sin-nuevos-puntos-investigar,Trigono,José María Costa,Política,"ARA San Juan: sin nuevos puntos para investigar, buscan al submarino en una zona más profunda",0.42650583,0.3680321,0
29200,False,23/10/2018 17:28,,889,0,"@republicano1810 @mbetuska la FEA no puede contestarte eso, no tiene idea",https://www.lanacion.com.ar/2184466-con-mas-concesiones-al-pj-oficialismo-avanza,solyema,Laura Serra,Política,"Con más concesiones al PJ, el oficialismo avanza con el dictamen de la ley de presupuesto",0.5526185,0.77750224,1
18476,True,02/10/2018 19:32,1,265,0,"tomá un poco de tu propia medicina, gorda.",https://www.lanacion.com.ar/2177731-carrio-denuncia-proscripcion-porque-peronismo-bloqueo-comision,obreroamargo,Laura Serra,Política,Carrió denuncia proscripción porque el peronismo la bloqueó en una comisión,0.5161046,0.67429656,1
56113,False,23/10/2018 21:03,,889,2,La FEA está con horas extras hoy.....,https://www.lanacion.com.ar/2184466-con-mas-concesiones-al-pj-oficialismo-avanza,solyema,Laura Serra,Política,"Con más concesiones al PJ, el oficialismo avanza con el dictamen de la ley de presupuesto",0.115394145,0.3641869,1
51276,True,02/10/2018 17:57,3,265,4,Gorda Mercenaria.....!!!Por algo te echo Alfonsin.....!!!!! Mejor cuida a tu hijo narco.....!!!! Deci que el dolar sigue a $ 23....!!!! ! Sino no te creia nadie....!!!! ,https://www.lanacion.com.ar/2177731-carrio-denuncia-proscripcion-porque-peronismo-bloqueo-comision,gcano,Laura Serra,Política,Carrió denuncia proscripción porque el peronismo la bloqueó en una comisión,0.79067075,0.8481672,0
20825,False,02/10/2018 18:12,5,265,3,"Gorda seguis siendo un 1,5%. Sos una eterna perdedora. No servís para otra que para acusar, sin pruebas por supuesto. ",https://www.lanacion.com.ar/2177731-carrio-denuncia-proscripcion-porque-peronismo-bloqueo-comision,LeonSKennedy,Laura Serra,Política,Carrió denuncia proscripción porque el peronismo la bloqueó en una comisión,0.7266589,0.77750224,0
20944,False,02/10/2018 18:59,2,265,0,@republicano1810 @elinus2 porque no ? La gorda es una caricatura...,https://www.lanacion.com.ar/2177731-carrio-denuncia-proscripcion-porque-peronismo-bloqueo-comision,rvnandin,Laura Serra,Política,Carrió denuncia proscripción porque el peronismo la bloqueó en una comisión,0.7266589,0.77750224,0
20818,False,02/10/2018 18:04,2,265,0,@Saccardi PORQUE EL DEDO DE LA GORDA LES ENTRA COMO UN SUPOSITORIO DE PAPEL DE LIJA,https://www.lanacion.com.ar/2177731-carrio-denuncia-proscripcion-porque-peronismo-bloqueo-comision,nicolascapaccio,Laura Serra,Política,Carrió denuncia proscripción porque el peronismo la bloqueó en una comisión,0.70409995,0.68848574,0
18839,False,02/10/2018 18:58,2,265,3,@republicano1810 y otros tantos millones ya estamos podridos de la gorda !,https://www.lanacion.com.ar/2177731-carrio-denuncia-proscripcion-porque-peronismo-bloqueo-comision,rvnandin,Laura Serra,Política,Carrió denuncia proscripción porque el peronismo la bloqueó en una comisión,0.56116796,0.65022653,0
23433,False,02/10/2018 20:09,4,265,2,Somos de cartón... Resulta que la gorda empastillada es la salvadora de la República de Macrilandia... Mamáaaa,https://www.lanacion.com.ar/2177731-carrio-denuncia-proscripcion-porque-peronismo-bloqueo-comision,QuiqueLaNacion,Laura Serra,Política,Carrió denuncia proscripción porque el peronismo la bloqueó en una comisión,0.44603384,0.5449558,
26241,False,02/10/2018 20:51,5,249,4,"Las mujeres cada vez más maleducadas, violentas y locas. Nada les viene bien.",https://www.lanacion.com.ar/2177764-tener-hijos-hacer-carrera-dicotomia-no-deberia,gperez43,Sofía Terrile,Economía,"Tener hijos o hacer carrera, la dicotomía que no debería existir más para las mujeres",0.8825915,0.77750224,1
52228,True,14/10/2018 19:04,4,626,1,"@anaesnaola ¿Y si hubiera sido travesti habrías dicho travesticidio?  Cuánto tiempo perdido en la facultad de Derecho para tener que soportar ahora todas estas teorías ridículas. Tal vez,  si yo muero violentamente algún modernoso jurídico dirá  q",https://www.lanacion.com.ar/2181722-ullifemicidio-cordoba-asesino-su-esposa-convivio-cadaver,pikybayres,Gabriela Origlia ,Sociedad,Femicidio en Córdoba: asesinó a su esposa y convivió tres días con el cadáver,0.8439916,0.7636647,1
20739,False,15/10/2018 02:15,3,602,0,@amazona2 A cuál quier dama hecha y derecha le gustan esas cosas....no como las feministas esas locas.....,https://www.lanacion.com.ar/2181771-arba-intimara-mas-350-countries-regularicen-pago,tmcdonnell,Sofía Diamante,Economía,ARBA intimará a más de 350 countries para que regularicen el pago de sus impuestos,0.7266589,0.7367093,1
29016,False,02/10/2018 20:49,3,249,1,"@jpoggio6 Las mujeres nos detestan sin razón alguna, la verdad que son ellas las que están cada vez más maleducadas, violentas y locas.",https://www.lanacion.com.ar/2177764-tener-hijos-hacer-carrera-dicotomia-no-deberia,gperez43,Sofía Terrile,Economía,"Tener hijos o hacer carrera, la dicotomía que no debería existir más para las mujeres",0.8268554,0.68848574,1
56115,True,03/10/2018 00:31,,249,0,"@gperez43 típico comentario machista,  ¿qué te viene bien a vos?  contanos para enterarnos.  ¿tu mamá y tus hermanas fueron así, violentas, locas , insatisfechas?  no  generalices por tu triste y corta experiencia,  la mía con los hombres,  mi padr",https://www.lanacion.com.ar/2177764-tener-hijos-hacer-carrera-dicotomia-no-deberia,luisa22,Sofía Terrile,Economía,"Tener hijos o hacer carrera, la dicotomía que no debería existir más para las mujeres",0.6108853,0.50066394,1
2807,False,22/10/2018 23:05,,860,2,"estan como locas las trolls de peña jajaja







usen mas mayusculas porque no juntan ni medio voto ",https://www.lanacion.com.ar/2184213-en-vaticano-prefirieron-silencio-pero-admiten-papa,volx,Elisabetta Piqué,Política,"En el Vaticano prefirieron el silencio pero admiten que el Papa está ""informado""",,,1
24881,False,19/10/2018 21:27,5,763,0,las femi bolches y su caza de brujas.,https://www.lanacion.com.ar/2183391-tras-diez-meses-fuera-del-aire-denuncias,Lavite,Pablo Montagna,Espectáculos,"Tras diez meses fuera del aire por las denuncias de acoso, Ari Paluch vuelve a El Exprimidor",0.6943849,0.56382483,1
62672,False,16/10/2018 20:34,2,679,0,"Esto es parte de lo que la gorda infame había pronosticado cuando dijo que nos iban a “hacer parir otra vez la República”



vamos por la etapa de las invasiones inglesas..",https://www.lanacion.com.ar/2182289-michetti-pena-cerraron-investigacion-administrativa-caso-del,basta_de_bananas,Maia Jastreblansky,Política,Michetti y Peña cerraron la investigación administrativa sobre el Correo Argentino,,,0
41163,False,24/09/2018 22:52,1,21,1,kavenaghi vos tenes menos ideas que la gorda carrio de nitricion,https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,lsalas22,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,0.7266589,0.86867005,1
20382,True,15/10/2018 21:05,1,650,2,Payaso populista. Sino fuera por el fmi el dolar estaria en $200 y la inflación en tres dígitos además de que estaríamos en default. Preocupate por que el estado tenga superavit sino lo queres al fondo. Encima tengo la fea sensación que este tipo algun día va a ser presidente,https://www.lanacion.com.ar/2181926-sergio-massa-washington-entre-fondo-argentinos-elijo,pandemia1000,Rafael Mathus Ruiz,Política,"Sergio Massa en Washington: ""Entre el Fondo y los argentinos, elijo a los argentinos""",0.6945503,0.68848574,0
620,False,25/09/2018 09:04,3,21,3,"@VonHayek  Che Von, déjate de hacer apreciaciones ridículas. Para USA y la Unión Europea, Argentina es un socio estratégico vital, liderando liberalmente la geopolítica de una región populista (salvo pequeñas excepciones) donde los cánceres de Ven",https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,gmdominguez01,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,0.7266589,0.6366232,0
20733,False,25/09/2018 10:29,1,21,2,"Parece George Bush, que no paraba de tirar frases ridículas.",https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,tuvi7868,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,0.26668105,0.32094315,0
28950,False,25/09/2018 06:48,5,21,9,"Sres Foristas:  Néstor kirchner tomó plata prestada de Venezuela A MAYOR INTERÉS y le pagó al FMI, PARA SACARSE DE ENCIMA LAS AUDITORÍAS Y HACER CON NUESTRO DINERO LO QUE SE LE ANTOJARA. Nos la vendió como que estábamos “desendeudándonos”.Y fue otra de sus mentiras.  De esta manera dilapidó nuestro dinero en la industria de los derechos humanos con suculentas indemnizaciones, estatizaciones ridículas para adjudicar contratos a sus testaferros (AYSA) y cuanta aventura económica se le ocurrió (REPSOL-YPF). ",https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,sacapunta,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,,,0
29257,False,25/09/2018 06:48,5,21,9,"Sres Foristas:  Néstor kirchner tomó plata prestada de Venezuela A MAYOR INTERÉS y le pagó al FMI, PARA SACARSE DE ENCIMA LAS AUDITORÍAS Y HACER CON NUESTRO DINERO LO QUE SE LE ANTOJARA. Nos la vendió como que estábamos “desendeudándonos”.Y fue otra de sus mentiras.  De esta manera dilapidó nuestro dinero en la industria de los derechos humanos con suculentas indemnizaciones, estatizaciones ridículas para adjudicar contratos a sus testaferros (AYSA) y cuanta aventura económica se le ocurrió (REPSOL-YPF). ",https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,sacapunta,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,,,0
29360,False,25/09/2018 06:48,5,21,9,"Sres Foristas:  Néstor kirchner tomó plata prestada de Venezuela A MAYOR INTERÉS y le pagó al FMI, PARA SACARSE DE ENCIMA LAS AUDITORÍAS Y HACER CON NUESTRO DINERO LO QUE SE LE ANTOJARA. Nos la vendió como que estábamos “desendeudándonos”.Y fue otra de sus mentiras.  De esta manera dilapidó nuestro dinero en la industria de los derechos humanos con suculentas indemnizaciones, estatizaciones ridículas para adjudicar contratos a sus testaferros (AYSA) y cuanta aventura económica se le ocurrió (REPSOL-YPF). ",https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,sacapunta,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,,,0
29420,True,25/09/2018 00:28,,21,0,@nigromantevader @mbetuska pareces la gorda Carrio....,https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,mbetuska,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,,,0
29440,False,25/09/2018 00:30,,21,0,"@mbetuska @nigromantevader la gorda Carrio es una retrógrada que solo sirve para Ministro de justicia o fiscal general, porque de economía lo único que entiende es que la tierra es importante cuando el principal ingreso en el mundo comercial son los se",https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,nigromantevader,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,,,0
59350,True,15/10/2018 21:44,4,650,0,"Sres Foristas:  Néstor kirchner tomó plata prestada de Venezuela A MAYOR INTERÉS y le pagó al FMI, PARA SACARSE DE ENCIMA LAS AUDITORÍAS Y HACER CON NUESTRO DINERO LO QUE SE LE ANTOJARA. Nos la vendió como que estábamos “desendeudándonos”.Y fue otra de sus mentiras.  De esta manera dilapidó nuestro dinero en la industria de los derechos humanos con suculentas indemnizaciones, estatizaciones ridículas para adjudicar contratos a sus testaferros (AYSA) y cuanta aventura económica se le ocurrió (REPSOL-YPF). ",https://www.lanacion.com.ar/2181926-sergio-massa-washington-entre-fondo-argentinos-elijo,sacapunta,Rafael Mathus Ruiz,Política,"Sergio Massa en Washington: ""Entre el Fondo y los argentinos, elijo a los argentinos""",,,0
59432,False,15/10/2018 21:44,4,650,0,"Sres Foristas:  Néstor kirchner tomó plata prestada de Venezuela A MAYOR INTERÉS y le pagó al FMI, PARA SACARSE DE ENCIMA LAS AUDITORÍAS Y HACER CON NUESTRO DINERO LO QUE SE LE ANTOJARA. Nos la vendió como que estábamos “desendeudándonos”.Y fue otra de sus mentiras.  De esta manera dilapidó nuestro dinero en la industria de los derechos humanos con suculentas indemnizaciones, estatizaciones ridículas para adjudicar contratos a sus testaferros (AYSA) y cuanta aventura económica se le ocurrió (REPSOL-YPF). ",https://www.lanacion.com.ar/2181926-sergio-massa-washington-entre-fondo-argentinos-elijo,sacapunta,Rafael Mathus Ruiz,Política,"Sergio Massa en Washington: ""Entre el Fondo y los argentinos, elijo a los argentinos""",,,0
59433,False,15/10/2018 21:44,4,650,0,"Sres Foristas:  Néstor kirchner tomó plata prestada de Venezuela A MAYOR INTERÉS y le pagó al FMI, PARA SACARSE DE ENCIMA LAS AUDITORÍAS Y HACER CON NUESTRO DINERO LO QUE SE LE ANTOJARA. Nos la vendió como que estábamos “desendeudándonos”.Y fue otra de sus mentiras.  De esta manera dilapidó nuestro dinero en la industria de los derechos humanos con suculentas indemnizaciones, estatizaciones ridículas para adjudicar contratos a sus testaferros (AYSA) y cuanta aventura económica se le ocurrió (REPSOL-YPF). ",https://www.lanacion.com.ar/2181926-sergio-massa-washington-entre-fondo-argentinos-elijo,sacapunta,Rafael Mathus Ruiz,Política,"Sergio Massa en Washington: ""Entre el Fondo y los argentinos, elijo a los argentinos""",,,0
2670,False,03/10/2018 21:50,1,291,0,"@lcow0134 @solyema esta es fea que duele, pobre. ",https://www.lanacion.com.ar/2178192-el-gobierno-sumo-apoyo-dos-gobernadores-mas,solyema,Santiago Dapelo,Política,El Gobierno sumó el apoyo de dos gobernadores más para el presupuesto,0.67169994,0.86867005,1
7289,False,03/10/2018 21:54,2,291,0,@lcow0134 la gorda Alcides,https://www.lanacion.com.ar/2178192-el-gobierno-sumo-apoyo-dos-gobernadores-mas,solyema,Santiago Dapelo,Política,El Gobierno sumó el apoyo de dos gobernadores más para el presupuesto,0.74829614,0.86867005,1
