,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity
15856,False,16:24 01/10/2018,5.0,223,3.0,"el comunista cocalero MORALES, es el típico dictadorzuelo de américa latina...expulsa a sus pobres , tan prepotentes como el, a países vecinos, como ARGENTINA, para que roben tierras, y se aprovechen de los ciudadanos argentinos que pagan su salud, educación y hasta tierras robadas y viviendas, para tener que soportar sus eternas quejas de indio insatisfecho.......FELICITO AL PUEBLO CHILENO, SIEMPRE TAN ACERTADO EN SUS POLÍTICAS DE ESTADO",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,republicaonada,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.7266589,0.59510094
16757,False,12:04 01/10/2018,7.0,223,2.0,"diputado MASSA y senador PICHETTO, ¡basta de fotitos! y sancionen ya LEY de DEPORTACION de BOLIVIANOS indocumentados y con causas penales en Bolivia.",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,ravila3,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.7266589,0.56997895
16837,False,11:54 01/10/2018,6.0,223,1.0,DEPORTACION de BOLIVIANOS indocumentados.,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,ravila3,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.6744656,0.5604263
11540,True,21:54 29/09/2018,2.0,178,0.0,Hay lluvias que hacen inútiles a los paraguas...,https://www.lanacion.com.ar/2176929-fito-paez-hablo-kirchnerismo-nueva-york-nunca,daniel_porta,,Sociedad,"Fito Páez habló sobre el kirchnerismo en Nueva York: ""Nunca pertenecí a ese movimiento""",0.2251725,0.53308105
56897,True,21:56 19/10/2018,,758,2.0,@cborja No quieren acercarse a Argenzuela del corrupto Macri.,https://www.lanacion.com.ar/2183427-en-fotos-drama-humano-exodo-hondurenos,QuiqueLaNacion,,El Mundo,"En fotos, el drama humano en el éxodo de los hondureños",0.35943738,0.5071424
15758,False,17:12 01/10/2018,,223,0.0,"CHILENOS..... ""HUTUS""... VS.. BOLITAS.... ""TUTSIS""... JUAAAA JUAAAA 😂",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,torno10,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.45252034,0.4983755
16278,True,13:25 01/10/2018,,223,1.0,"@juanjorgesalzman NOSOTROS LOS ARGENTINOS SOMOS MEZCLA DE ITALIANO , INDIO Y ESPAÑOL - Y POR ESO SOMOS AINDIADOS PERO MEJOR QUE TODOS LOS DEMAS.  ",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,MartinLaacre,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.56116796,0.49811548
16201,True,13:35 01/10/2018,,223,0.0,"los nazis bolitas tienen al bolitaje entretenido con la idea de prepotearle tierra a Chile, y resulta que los materialistas son los que celebran el fallo que los pone en caja",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,Eeeeeee1,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.7266589,0.49763563
21375,False,20:45 04/10/2018,4.0,302,0.0,"JUEGUEN Y DESPUÉS HABLEN, NO ABRAN EL PARAGUAS NI DIGAN ESTUPIDECES. RIVER GANÓ POR BUENO, NO POR AYUDA DE NADIE.",https://www.lanacion.com.ar/2178467-sarmiento-resistencia-river-copa-argentina,marcris28,Carlos Delfino,Deportes,"En Sarmiento de Resistencia están furiosos contra River: ""Si nos presentamos, vamos a ser 11 contra 14""",0.09692557,0.3727785
16487,False,12:45 01/10/2018,,223,0.0,"Si los bolitas se bañaran , serían otra cosa....son laburantes , los únicos que se meten en el barro de las quintas, y trabajan de sol a sol. pero hay que educarlos en la higiene, con lo que nos cobran la verdura tienen para comprarse jabón y más jabón. ",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,calistaflo,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.4107594,0.34857857
2983,False,21:53 24/09/2018,3.0,25,0.0,Este pais se ha convertido en Argenzuela si las autoridades no se ponen los pantalones largos esto no va a terminar bien estamos otra vez como cuando estaban los montoneros operan de la misma forma ,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,arusany,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.33578566,0.32094315
15902,True,16:03 01/10/2018,,223,0.0,"@Guillermo 2010... No somos nosotros que borramos el foro tiene un filtro anti Indio... Y a veces cuando entran más de 4 mapus en Malon se satura y borra a cualquiera...
JUAAAA JUAAAA 😂",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,torno10,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.35494295,0.31187516
28606,True,00:39 08/10/2018,,404,0.0,@elcoso Ustedes festejan hasta un partido de bolitas jajaja,https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,lucasvas,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.20452078,0.29669014
32462,True,05:32 09/10/2018,,445,1.0,"@toguin Es verdad, al menos en mi caso voté por el menos peor, aunque pensé que este gobierno sería un poco menos inútil pero complican hasta la cosa más simples a grados delirantes. Igualmente aunque no quieran reconocerlo, es un gobierno de transición, Macri me tiene sin cuidado, lo que no hay que perder es la memoria, ni olvidar que estuvimos a un paso de ser Argenzuela.",https://www.lanacion.com.ar/2179686-el-gobierno-busca-el-equilibrio-entre-defender-a-macri-y-contener-a-carrio-en-cambiemos,nahuel_st,Jaime Rosemberg,Política,El Gobierno busca el equilibrio entre defender a Macri y contener a Carrió en Cambiemos,0.19448382,0.26292527
52605,False,00:30 19/10/2018,3.0,722,0.0,En Alemania los empresarios no son tantos y son de muchas generaciones algo asì como capas geologicas de acumulaciòn de capital..en cambio en Argentina la mayoria son aventureros y advenedizos que se dicen empresarios..Pongo un ejemplo concreto Manzano ministro del interior de Menem decìa sin ponerse colorado ROBO PARA LA CORONA...Ahora es dueño de petroleras medios y que se yo que màs y aparece con un traje en la Union Industrial y todos les rinden pleitesìa cuando en realidad tendrìa que estar preso..Esa es la matriz empresaria de gran parte de los argentos de Argenzuela,https://www.lanacion.com.ar/2183107-autocritica-del-empresariado-imagen-piso-si-te,hmarino,Darío Palavecino,Economía,"Autocrítica del empresariado, con la imagen por el piso: ""Si te pusieron un 2, ponete a estudiar""",0.35710558,0.25872567
61043,False,14:59 22/10/2018,1.0,824,0.0,"No entiendo, el novio de Fandiño que se la pasa profesando el comunismo y cantando a favor de los pobres vive en New york? Es como uno que se hace llamar Indio y se la pasa arriba del avión privado mientras mueren jóvenes por su culpa",https://www.lanacion.com.ar/2183800-soledad-fandino-hablo-su-vida-nueva-york,juje_delta,,Espectáculos,"Soledad Fandiño, sobre su vida en Nueva York: ""Estudié la carrera de chef""",0.28739557,0.24036399
59102,False,16:27 20/10/2018,1.0,799,0.0,"Ta que están todos entre amigos, que alguno le chifle a Pancho y que se juegue por argenzuela. La cantidad de rosarios que va a tener que mandar justifica abrir una fundición en La Matanza. De paso crea fuentes de trabajo como nunca lo hicieron",https://www.lanacion.com.ar/2183641-los-cuadernos-coimas-bonadio-pidio-detencion-inmediata,RickyL,,Política,Los cuadernos de las coimas: Bonadio ordenó la detención inmediata de la viuda de Daniel Muñoz,0.22895926,0.23842847
15788,False,16:45 01/10/2018,1.0,223,14.0,"CHILE ,,  BOLIVIA ,,PERU,, PARAGUAS  Y VARIOS PAISES MÁS Q' NO DEBERIAN EXISTIR ,, YA DEBERIAN HABER SIDO ABSORBIDOS X ARGENTINA Y BRASIL....................",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,jvrela,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.31307107,0.23485155
16499,False,12:43 01/10/2018,1.0,223,0.0,"El  INDIO     quiso   ser   ""historia"".....perdiste   como   era    sabido.   Ya   no     tienen   nunca    mas   posibilidad   alguna. Peru    les    dio   una   salida,   alli  esta  ABANDONADA.",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,spcristal,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.21449673,0.23462212
27216,False,03:03 07/10/2018,1.0,389,0.0,Por favor que no se sigan reproduciendo los bolis y paraguas. harta mantener los a ellos y su cría!,https://www.lanacion.com.ar/2179205-cuestionamientos-academia-nacional-educacion-cambios-educacion-sexual,reinadetolosa,,Sociedad,Cuestionamientos de la Academia Nacional de Educación sobre los cambios en la Educación Sexual Integral,0.28126636,0.21159934
15779,True,17:12 01/10/2018,,223,0.0,@torno10 ANDA A HACER PETTTES A LOS BOLITAS POR 15 PESOS,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,stululakis,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.12961878,0.19863188
11543,True,21:53 29/09/2018,1.0,178,1.0,@daniel_porta MAS QUE PARAGUAS NECESITA UNA CARPA DE CIRCO,https://www.lanacion.com.ar/2176929-fito-paez-hablo-kirchnerismo-nueva-york-nunca,gverdi,,Sociedad,"Fito Páez habló sobre el kirchnerismo en Nueva York: ""Nunca pertenecí a ese movimiento""",0.07686893,0.18654434
16676,False,12:17 01/10/2018,1.0,223,0.0,MENOS MAL que liniers no limita con el río de la plata. Ya estaban reclamando la franja los bolitas.,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,florisel,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.07824782,0.14349948
54189,False,22:13 18/10/2018,4.0,746,0.0,"No puedo realmente culpar a los paraguas. Imaginense si Trump dijera” Vengan y voten por mi y los dejo entrar, les pago un plan y los dejo hacer lo que quieran”??? El ultimo que apague la luz...",https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,lilc1795,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.061301764,0.13204774
16635,False,12:23 01/10/2018,1.0,223,5.0,Argentina en picada y el globerto se viene a reir de los bolitas que crecen todos los años...jajajaj,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,locomanu,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.105976425,0.12568653
57317,True,06:22 20/10/2018,2.0,776,0.0,"@MimiTrujillo propios y extranjeros; fijate todo lo que nos enteramos sobre los paraguas ocupas de san miguel, a raiz del crimen de la nena",https://www.lanacion.com.ar/2183360-llavallol-familia-resistio-entradera-mato-dos-delincuentes,boulevardsoleado,,Sociedad,Llavallol: una familia resistió una entradera y mató a dos delincuentes,0.07617126,0.11822351
32096,True,17:52 08/10/2018,2.0,443,3.0,@sil2012 Para qué si estamos en Argenzuela.,https://www.lanacion.com.ar/2179723-confirman-procesamiento-cristina-kirchner-sus-hijos-causa,Naty_Mercurio_XI,,Política,Confirman el procesamiento de Cristina Kirchner y sus hijos en la causa Hotesur,0.05010433,0.117579535
16749,False,12:06 01/10/2018,1.0,223,2.0,Uff..Ahora los bolitas se vengan y nos aumentan la lechuga y el tomate.,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,pato_logico,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.04149067,0.08652536
16440,False,12:54 01/10/2018,4.0,223,2.0,Para que quieren el mar si los bolitas no saben lo que es el agua...,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,hjunquet,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.01600116,0.06481514
49929,False,19:03 17/10/2018,3.0,695,0.0,"Tenían razón, ya somos Argenzuela.",https://www.lanacion.com.ar/2182599-aceite-fideos-pan-15-productos-mas-subieron,Belisarioperez,,Economía,"Aceite, fideos y pan, entre los 15 productos que más subieron en septiembre",0.016011446999999998,0.05851583
12948,False,21:18 30/09/2018,3.0,203,0.0,"si, a las bolitas van a ganar.",https://www.lanacion.com.ar/2177132-carlos-menem-celebro-alianza-massa-schiaretti-urtubey,polomarco,,Política,"Carlos Menem celebró la alianza entre Massa, Schiaretti, Urtubey y Pichetto: ""Va a ganar las elecciones""",0.011088654,0.046108022
9662,False,21:47 29/09/2018,1.0,156,0.0,"Se puede resumir asi: Si te dicen que no llueve, llevate el paraguas.",https://www.lanacion.com.ar/2176898-nicolas-dujovne-no-tengo-miedo-no-se,nandreoli,,Economía,"Nicolás Dujovne: ""No tengo miedo de que no se pueda controlar el dólar""",0.010149238,0.04478339
34791,False,20:37 09/10/2018,5.0,474,3.0,Parece que el periodismo militante está abriendo el paraguas antes de que llueva... ¿no?,https://www.lanacion.com.ar/2180061-guillermo-moreno-roberto-navarro-sos-idiota-util,Edu2300,,Política,"Guillermo Moreno, contra Roberto Navarro: ""Sos un idiota útil""",0.005285721,0.029471759
1039,False,00:47 25/09/2018,5.0,21,4.0,"Evidentemente el presidente Macri  goza de credibilidad y es bien mirado en el mundo.  Si ganaba Scioli  y en las condiciones paupérrimas que estaba nuestro pais , a raiz del saqueo K, estoy convencida que hoy seriamos Argenzuela   Tengamos FE que todo va a cambiar !!",https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,mari_posita,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,,
3378,True,21:25 24/09/2018,,30,0.0,"@fumenoire @lafepasion El gentilicio de India es Indio o Hindú 
https://es.wikipedia.org/wiki/India",https://www.lanacion.com.ar/2175221-a-89-anos-prestigioso-matematico-asegura-haber,lafepasion,Nora Bär,Sociedad,"A los 89 años, un prestigioso matemático asegura haber demostrado un problema centenario, pero muchos dudan",,
8102,False,21:49 28/09/2018,,127,1.0,"lo del abaratamiento del pasaje áereo y las low cost , es el verso que usan estos malandras para ir abriendo el paraguas por los malos servicios, el personal maleducado que tienen, los choferes ratas que toman. y flecha bus, que se dice es del angelito de eduardo duhalde, fue la primera beneficiada por el kisnerato",https://www.lanacion.com.ar/2176595-la-compania-larga-distancia-flechabus-se-presento,ieroslav,,Economía,La compañía de larga distancia Flechabus se presentó a concurso preventivo,,
10791,False,16:04 29/09/2018,5.0,173,0.0,"Seguramente si lo hubieran invitado a la mateada a el lo entusiasmaría. Eternamente en el peronismo ninguno quiere ser indio y todos se quieren vender como caciques y este al único que aceptaría como cacique es a moyano que viene del mismo palo de los gordos sindicalistas, obviamente desconfía de los demas y yo no confío en ninguno. Son mas de lo mismo como en los últimos 70 años y estos que se quieren vender como ""renovadores"" fueron complices y participes del robo desde menem hasta la cristina. ",https://www.lanacion.com.ar/2176904-hector-daer-cumbre-del-pj-no-k,Anticojc,,Política,"Héctor Daer, sobre la cumbre de Urtubey y Massa: ""No me entusiasma""",,
12585,False,09:56 30/09/2018,1.0,194,0.0,Cualquier parecido con Argenzuela 2003/2015 no es pura casualidad,https://www.lanacion.com.ar/2176984-giro-caida-familia-ben-laden-reflejo-cambios,Estanislas,Stephen Kalin,El Mundo,"La caída de la familia Ben Laden, reflejo de los cambios en Arabia Saudita",,
15933,False,15:37 01/10/2018,2.0,223,4.0,Aplausos. No tengo idea del asunto pero me alegra que fracase ese indio arrogante.,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,lilianacesar,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,,
15938,False,15:36 01/10/2018,3.0,223,0.0,Aquí tenemos bolitas con salida al Riachuelo.,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,daniel_porta,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,,
15942,True,15:51 01/10/2018,1.0,223,0.0,"@stululakis INDIO MIEDO TENIENDO..
JUAAAA JUAAAA 😂",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,torno10,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,,
15951,True,15:36 01/10/2018,1.0,223,0.0,@fcaldera Ahi apareció el un originario... El mapu Guillermo... Ya comio plato de poroto con riendas... El indio guata inflada.... Juaaaa Juaaaa 😂,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,torno10,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,,
16855,False,11:49 01/10/2018,4.0,223,2.0,"Perfecto, los bolitas en el único lugar que tienen derechos es en este país. ",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,cuca6586,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,,
16886,False,11:42 01/10/2018,6.0,223,2.0,"pero chilenos que mal, no ven que por no tener salida al mar los bolitas se vienen todos para acá",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,cocoom60,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,,
20504,False,20:32 03/10/2018,3.0,291,6.0,Al peronismo yo ne les creo nada. Si dicen que va a salir el sol llevo paraguas,https://www.lanacion.com.ar/2178192-el-gobierno-sumo-apoyo-dos-gobernadores-mas,ghriva,Santiago Dapelo,Política,El Gobierno sumó el apoyo de dos gobernadores más para el presupuesto,,
21954,False,23:53 04/10/2018,4.0,325,0.0,Pluma Libre = Indio Suelto . . .§  un corchazo a los pobres que no tienen trabajo ni comida  . . . !!!  como no se iban a morir de hambre con semejante corchazo  . . . !!,https://www.lanacion.com.ar/2178504-corcho-rodriguez-reconocio-haber-cobrado-u35-millones,letrachica,Iván Ruiz,Política,"""Corcho"" Rodríguez reconoció haber cobrado US$3,5 millones de Odebrecht",,
21992,False,21:10 04/10/2018,3.0,325,0.0,Pluma Libre = Indio Suelto . . .§  recorcholis  . . .!! por todos los rayos y culebras . . . como pudo suceder  . . !,https://www.lanacion.com.ar/2178504-corcho-rodriguez-reconocio-haber-cobrado-u35-millones,letrachica,Iván Ruiz,Política,"""Corcho"" Rodríguez reconoció haber cobrado US$3,5 millones de Odebrecht",,
22425,True,00:26 05/10/2018,2.0,326,5.0,"@Argentinaseraluz Asís no pega una. Si te dice buen día, salí a la calle con paraguas.",https://www.lanacion.com.ar/2178599-garavano-tormenta-macri-rechazo-su-renuncia-le,cristianair,Santiago Dapelo,Sociedad,"Las 24 horas de vértigo de Garavano, de la renuncia al respaldo de Macri",,
22945,True,23:16 04/10/2018,,326,0.0,Harto de mantener planes de bolis y paraguas.. Y de que colombianos y venezolanos Conviertan a buenos aires en un Medellín o Caracas..,https://www.lanacion.com.ar/2178599-garavano-tormenta-macri-rechazo-su-renuncia-le,torno10,Santiago Dapelo,Sociedad,"Las 24 horas de vértigo de Garavano, de la renuncia al respaldo de Macri",,
30229,False,12:40 07/10/2018,1.0,413,1.0,"La mitad de los argentinos ungió como presidente a un coimero, estafador y lavador de guita... Somos Argenzuela ",https://www.lanacion.com.ar/2179397-para-massa-pelea-macri-carrio-se-esta,QuiqueLaNacion,,Política,"Para Massa, la interna entre Macri y Carrió ""se está transformando en un gran papelón""",,
33401,True,22:49 09/10/2018,,471,0.0,los esclsvos del sionismo de la nacion te borran en 3...2...1...,https://www.lanacion.com.ar/2180135-lorenzetti-acuso-rosenkrantz-generar-clima-tension-temor,duxnobis78,,Política,"Lorenzetti le contestó a Rosenkrantz: habló de ""mediocridad"" y de generar un ""clima de tensión y temor""",,
42923,False,01:06 15/10/2018,4.0,602,1.0,"Che no vi el programa de Lanata,que dijeron del feudal Insfrán. Le revocaron los documentos a los paraguas?",https://www.lanacion.com.ar/2181771-arba-intimara-mas-350-countries-regularicen-pago,tmcdonnell,Sofía Diamante,Economía,ARBA intimará a más de 350 countries para que regularicen el pago de sus impuestos,,
47875,True,23:19 16/10/2018,2.0,678,0.0,@wsoidier Va de paraguas o està muy roto?,https://www.lanacion.com.ar/2182331-luis-carzoglio-no-me-van-correr-aprietes,nesfer24,,Política,"El juez que rechazó detener a Moyano aclaró: ""No me van a correr con aprietes""",,
48654,False,23:18 16/10/2018,2.0,680,0.0,"""Paritarias al 42%."" Por supuesto, los ""compañeros"" apoyarán la iniciativa del millonario y eterno sindicalista que los representa a muchos de ellos. Lo único que nunca aclaran es quien paga los aumentos. Hasta ahora, indefectiblemente, todos los aumentos los paga la sociedad en su conjunto, ya que los aumentos que acuerdan, con las cámaras empresariales, sistemáticamente, van a aumentos de precios, o si es con el gobierno, a aumentos de impuestos. Por supuesto que la gran cantidad de gente que no trabaja, bajo el paraguas de los sindicatos, o los que pretenden insertarse en el mundo del trabajo, no tienen esos aumentos o, peor aun, no consiguen trabajo, por la falta de creación de empleo privado, o lo pierden. La crisis actual, no es casual, sino producto del populismo de doce años de peronismo, donde se repartió beneficios a los sindicalizados, como es la práctica habitual en los gobiernos peronistas, para que sus dirigentes sindicales y políticos se mantengan en el poder eternamente. Lamentablemente, el actual gobierno, no avanzó demasiado, como para solucionar estas distorsiones y, finalmente, terminamos en una gran crisis, teniendo que recurrir al FMI, que fue la única alternativa, como para no caer en default y, como es de esperar, ahora habrá que cumplir con lo acordado con el FMI, o sea, no gastar lo que no se puede, ya que fue quien puso la plata para ahuyentar el riesgo de un nuevo default.",https://www.lanacion.com.ar/2182302-moyano-celebro-fallo-del-juez-desafia-ahora,Charlie2010,Nicolás Balinotti,Política,Moyano celebró el fallo del juez y desafía ahora con paritarias de 42%,,
53824,True,10:38 19/10/2018,,746,0.0,@lopeshito1  DEPORTACION Y LIMPIAMOS GRAN PARTE.,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,Charosuarez,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,,
53833,False,00:34 19/10/2018,9.0,746,1.0,"....si son hallados culpables, un tiempito en prisión y luego DEPORTACION.   No me vengan con el cuento de que el bebé es argentino,...., no nos claven con una AUH",https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,etacarinae88,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,,
53937,True,23:54 18/10/2018,,746,0.0,@fper7709 ni idea ademas yo soy mescla de aleman del volga y negro de indio no entiendo nada anoser de la Yoli que es guarani ,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,nomengrapes70,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,,
